user_id,album_id,rating
746,1,5
557,1,5
918,1,4
792,1,4
46,1,3
369,10,5
921,10,5
868,10,2
251,10,3
71,10,5
961,10,3
778,10,1
155,10,2
6,10,5
419,10,1
391,10,3
628,10,1
379,10,2
297,10,1
879,100,4
463,100,5
438,100,2
46,100,4
99,100,1
921,100,3
475,100,3
730,1000,5
428,1000,5
290,1000,4
198,1000,5
111,1000,5
893,1000,5
331,1001,3
587,1001,4
597,1001,2
3,1001,3
378,1001,5
705,1001,5
778,1001,2
939,1001,3
365,1001,1
203,1002,2
89,1002,1
358,1002,2
201,1002,4
588,1002,4
568,1002,5
323,1002,3
233,1002,4
442,1002,3
842,1002,2
660,1002,1
851,1002,5
331,1002,4
863,1002,3
383,1002,3
19,1003,1
355,1003,4
374,1003,4
137,1003,1
498,1003,1
389,1003,3
849,1003,5
464,1003,2
838,1004,5
543,1004,2
417,1004,5
133,1004,1
600,1004,1
661,1004,5
532,1004,5
908,1004,1
258,1004,5
698,1004,4
82,1004,4
843,1004,1
851,1004,2
873,1004,1
324,1004,2
423,1004,2
730,1004,3
547,1005,3
713,1005,4
910,1005,2
161,1005,4
619,1005,1
71,1005,3
70,1005,5
342,1005,4
666,1005,5
533,1006,1
750,1006,1
642,1006,4
663,1006,2
883,1006,3
784,1006,3
335,1006,1
509,1007,3
486,1007,2
312,1007,3
627,1007,1
319,1007,5
93,1007,2
91,1007,2
211,1007,4
3,1007,4
401,1007,5
341,1007,1
655,1007,2
231,1007,1
327,1007,2
168,1007,3
566,1007,4
665,1007,2
539,1007,2
780,1007,2
433,1007,2
922,1008,2
113,1008,5
177,1008,4
743,1008,2
341,1008,1
765,1008,3
983,1008,4
592,1008,3
723,1008,5
555,1008,3
731,1008,1
247,1008,2
986,1008,5
164,1008,3
226,1008,4
778,1008,2
507,1008,4
840,1008,1
855,1008,1
13,1009,3
749,1009,2
847,101,1
631,101,3
279,101,1
471,101,3
483,101,2
839,101,1
301,101,5
615,101,4
673,101,3
246,101,3
658,101,5
583,101,1
918,101,1
566,101,1
204,1010,3
741,1010,2
737,1010,5
296,1010,4
958,1010,2
468,1010,3
783,1010,5
260,1010,4
679,1010,3
496,1010,1
981,1010,4
415,1010,1
905,1010,4
811,1011,4
879,1011,1
172,1011,3
137,1011,3
704,1011,5
472,1011,1
246,1011,4
817,1011,4
971,1011,3
426,1011,5
787,1011,1
909,1011,1
211,1011,2
491,1012,1
69,1012,1
638,1012,3
875,1012,1
47,1012,2
474,1012,2
232,1012,4
660,1012,4
280,1012,2
410,1012,5
756,1012,4
428,1012,3
101,1012,3
687,1012,5
543,1012,1
942,1012,4
993,1012,4
100,1012,3
606,1012,4
292,1012,5
902,1013,4
133,1013,5
244,1013,2
785,1013,2
321,1013,4
992,1013,5
863,1013,4
890,1013,5
896,1013,5
584,1014,5
444,1014,5
941,1014,5
165,1015,5
238,1015,4
369,1015,3
338,1015,3
590,1015,4
960,1015,1
456,1015,5
820,1015,3
254,1015,4
585,1015,4
891,1015,3
743,1015,3
361,1015,5
22,1015,5
236,1015,3
336,1015,2
840,1015,4
371,1016,1
271,1016,1
274,1016,2
169,1016,2
740,1016,2
988,1016,2
